customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
100000001-KPA,Male,0,24.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.96,2049.29,NO
CUST-100000002,Male,0,19.0,Yes,DSL,Month-to-month,Yes,Electronic check,65.18,1361.81,No
TC-KB-10000003,Female,0,68.0,yes,DSL,Two year,No,Bank transfer,67.14,4507.24,No
TC-SP-10000004,Female,0,56.0,No,Fiber optic,One year,Yes,Credit card,73.58,4132.24,No
CUST-100000005,Female,0,35.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,93.31,3318.76,No
CUST-100000006,Male,0,9.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,76.55,671.58,Yes
CUST-100000007,Female,0,27.0,Yes,DSL,Month-to-month,Yes,Electronic check,57.79,1558.99,No
100000008-KWG,Male,1,20.0,Yes,DSL,Month-to-month,Yes,Bank transfer,61.25,1234.18,Yes
TC-QB-10000009,Male,0,53.0,No,Fiber optic,Month-to-month,No,Electronic check,60.95,3277.09,No
ACCT1000000010,Male,0,72.0,No,DSL,Month-to-month,Yes,Electronic check,43.53,3181.88,No
100000011-SGT,Male,1,52.0,Yes,DSL,Month-to-month,No,Electronic check,71.95,3651.52,No
CUST-100000012,Female,0,22.0,Yes,DSL,One year,No,Credit card,49.03,986.18,No
CUST-100000013,Female,1,9.0,No,Fiber optic,One year,Yes,Credit card,69.74,595.62,Yes
CUST-100000014,Female,0,20.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.68,1867.82,No
CUST-100000015,Female,1,14.0,No,Fiber optic,One year,Yes,Credit card,64.23,858.74,Yes
ACCT1000000016,Female,0,58.0,Yes,Fiber optic,Two year,Yes,Credit card,81.85,4495.89,No
CUST-100000017,Female,0,31.0,Yes,Fiber optic,One year,No,Electronic check,96.68,2994.88,No
TC-PM-10000018,Female,0,50.0,No,DSL,Two year,No,Electronic check ,49.95,2494.72,No
TC-FK-10000019,Female,0,60.0,Yes,No,Two year,No,Electronic check,25.55,1570.42,No
ACCT1000000020,Male,0,70.0,Yes,Fiber optic,Two year,Yes,Credit card,74.26,5178.50,No
CUST-100000021,Male,1,67.0,Yes,Fiber optic,Two year,No,Credit card ,84.07,5308.42,No
CUST-100000022,Female,0,38.0,yes,Fiber optic,Two year,Yes,Mailed check,77.31,2888.69,No
ACCT1000000023,Male,0,56.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,79.92,4056.99,No
TC-SZ-10000024,Female,0,33.0,Yes,DSL,Two year,Yes,Bank transfer,60.99,1917.35,No
CUST-100000025,Female,0,13.0,Yes,Fiber optic,One year,Yes,Electronic check,82.86,1077.60,No
ACCT1000000026,Female,0,6.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.52,603.49,No
TC-WA-10000027,Female,0,32.0,Yes,Fiber optic,One year,Yes,Bank transfer,73.36,2303.36,No
ACCT1000000028,Female,0,48.0,Yes,Fiber optic,One year,No,Electronic check,91.53,4753.97,Yes
ACCT1000000029,Male,0,8.0,Yes,Fiber optic,One year,No,Mailed check,80.28,662.49,No
ACCT1000000030,Female,0,13.0,Yes,Fiber optic,One year,Yes,Mailed check,81.84,1057.76,No
TC-CC-10000031,Female,0,14.0,Yes,fiberoptic,Month-to-month,No,Bank transfer,84.67,1242.11,Yes
CUST-100000032,Male,0,65.0,Yes,DSL,One year,Yes,Credit card,64.88,4504.15,No
CUST-100000033,Male,0,7.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,89.92,621.27,Yes
ACCT1000000034,Female,0,25.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.71,2332.2,Yes
CUST-100000035,Male,0,9.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,87.06,791.97,No
100000036-MWA,Male,0,59.0,Yes,No,One year,No,Bank transfer,26.14,1567.02,No
TC-LR-10000037,Female,1,34.0,Yes,No,Month-to-month,Yes,Electronic check,36.84,1277.5,Yes
CUST-100000038,Female,0,38.0,Yes,No,Two year,No,Credit card,29.25,1173.99,No
CUST-100000039,Male,1,53.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,94.51,4936.07,Yes
CUST-100000040,Male,0,34.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.95,3018.46,No
CUST-100000041,Male,0,44.0,Yes,DSL,Two year,No,Credit card,57.74,2497.61,No
CUST-100000042,Male,0,59.0,Yes,DSL,One year,Yes,Credit card,61.7,3754.76,No
CUST-100000043,Female,1,44.0,Yes,No,Two year,Yes,Credit card,42.76,1857.44,No
TC-VC-10000044,Female,0,22.0,No,dsl,One year,Yes,Mailed check,39.51,816.90,No
100000045-XWL,Female,0,56.0,Yes,DSL,Month-to-month,Yes,Electronic check,64.3,3530.10,No
ACCT1000000046,Male,0,4.0,Yes,DSL,One year,No,Bank transfer,61.97,227.95,Yes
CUST-100000047,Female,0,71.0,Yes,DSL,One year,Yes,Credit card,51.79,3524.10,No
CUST-100000048,Male,1,24.0,Yes, Fiber optic ,month-to-month,No,Bank transfer,83.67,1933.57,No
CUST-100000049,Male,0,11.0,Yes, No ,Month-to-month,Yes,Electronic check,40.27,425.61,No
ACCT1000000050,Male,0,20.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,84.08,1661.08,No
ACCT1000000051,Female,0,27.0,Yes,No,Month-to-month,Yes,Mailed check,26.4,736.46,No
ACCT1000000052,Female,0,72.0,Yes,Fiber optic,One year,Yes,Bank transfer,92.81,6481.29,No
CUST-100000053,Male,0,38.0,Yes,Fiber optic,Two year,Yes,Bank transfer,90.54,3315.77,No
CUST-100000054,Male,0,47.0,Yes,Fiber optic,One year,Yes,Bank transfer,82.54,3977.20,No
100000055-XTL,Male,0,72.0,Yes,Fiber optic,Two year,No,Bank transfer,73.64,4916.31,No
CUST-100000056,Male,0,8.0,Yes,Fiber optic,Month-to-month,No,Electronic check,77.3,638.87,Yes
CUST-100000057,Male,0,2.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.02,203.51,Yes
CUST-100000058,Male,0,5.0,Yes,No,Month-to-month,Yes,Bank transfer,32.55,156.22,Yes
CUST-100000059,Female,0,66.0,Yes,Fiber optic,One year,Yes,Bank transfer,84.37,5885.73,No
CUST-100000060,Female,1,40.0,Yes,No,Two year,No,Credit card,26.02,970.43,No
CUST-100000061,Male,0,42.0,Yes,No,Month-to-month,No,Mailed check,28.79,1264.72,No
CUST-100000062,Male,1,48.0,No,Fiber optic,Two year,No,Mailed check,68.73,3157.0,No
