gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Risk_Score,Risk_Category,Churn_Driver_Explanation,Retention_Recommendation
Male,0,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.96,2049.29,No,0.8197906491294727,82.0,High Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
Male,0,19,Yes,DSL,Month-to-month,Yes,Electronic check,65.18,1361.81,No,0.6604683861529005,66.0,Medium Risk,Month-to-Month Contract,Offer Annual Contract
Female,0,68,Yes,DSL,Two year,No,Bank transfer,67.14,4507.24,No,0.021876806591875908,2.2,Low Risk,Long-Term Contract,Offer Premium Support
Female,0,56,No,Fiber optic,One year,Yes,Credit card,73.58,4132.24,No,0.17457983036625122,17.5,Low Risk,Long-Term Contract | High Monthly Charges,Provide Loyalty Discount
Female,0,35,Yes,Fiber optic,Month-to-month,Yes,Mailed check,93.31,3318.76,No,0.7127248343271895,71.3,High Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
Male,0,9,Yes,Fiber optic,Month-to-month,Yes,Mailed check,76.55,671.58,Yes,0.8329405462095424,83.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,27,Yes,DSL,Month-to-month,Yes,Electronic check,57.79,1558.99,No,0.5498357084889622,55.0,Medium Risk,Month-to-Month Contract,Offer Annual Contract
Male,1,20,Yes,DSL,Month-to-month,Yes,Bank transfer,61.25,1234.18,Yes,0.6003624211528595,60.0,Medium Risk,Month-to-Month Contract,Offer Annual Contract
Male,0,53,No,Fiber optic,Month-to-month,No,Electronic check,60.95,3277.09,No,0.43187906678474336,43.2,Medium Risk,Month-to-Month Contract,Offer Annual Contract
Male,0,72,No,DSL,Month-to-month,Yes,Electronic check,43.53,3181.88,No,0.15163381405737167,15.2,Low Risk,Month-to-Month Contract,Offer Annual Contract
Male,1,52,Yes,DSL,Month-to-month,No,Electronic check,71.95,3651.52,No,0.42400199315851883,42.4,Medium Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
